categoria;urlCategoria;article;descripcio;tipus;urlArticle;creador;dataPublicacio;paraulesClaus
Què Fer;https://www.timeout.cat/barcelona/ca/que-fer;Escape Rooms infantils a Barcelona;Jocs d'escapament pensats específicament per als nens i també per viure l'aventura en família;Article;https://www.timeout.cat/barcelona/ca/nens/escape-rooms-infantils-a-barcelona;Erica Aspas;2019-04-15T22:00:00Z;['Nens', 'Nens: Espais per jugar']
Què Fer;https://www.timeout.cat/barcelona/ca/que-fer;Les 6 millors receptes dels xefs de Barcelona per fer a casa;Grans cuiners de la ciutat ens passen receptes de plats saborosos per fer amb el que tinguem a mà;Article;https://www.timeout.cat/barcelona/ca/restaurants/receptes-dels-xefs-de-barcelona-per-fer-a-casa;Ricard Martín;2020-11-25T23:00:00Z;['Restaurants', 'Categorias: Restaurants']
Què Fer;https://www.timeout.cat/barcelona/ca/que-fer;Les 6 millors receptes dels xefs de Barcelona per fer a casa;Grans cuiners de la ciutat ens passen receptes de plats saborosos per fer amb el que tinguem a mà;Article;https://www.timeout.cat/barcelona/ca/restaurants/receptes-dels-xefs-de-barcelona-per-fer-a-casa;Ricard Martín;2020-11-25T23:00:00Z;['Restaurants', 'Categorias: Restaurants']
Què Fer;https://www.timeout.cat/barcelona/ca/que-fer;Les 6 millors receptes dels xefs de Barcelona per fer a casa;Grans cuiners de la ciutat ens passen receptes de plats saborosos per fer amb el que tinguem a mà;Article;https://www.timeout.cat/barcelona/ca/restaurants/receptes-dels-xefs-de-barcelona-per-fer-a-casa;Ricard Martín;2020-11-25T23:00:00Z;['Restaurants', 'Categorias: Restaurants']
Què Fer;https://www.timeout.cat/barcelona/ca/que-fer;8 classes i tutorials per fer ioga a casa i no morir en l'intent;Cursos virtuals i altres recursos per fer ioga i exercicis que ens ajuden a mantenir el cos i la ment en equilibri;Article;https://www.timeout.cat/barcelona/ca/que-fer/classes-i-tutorials-per-fer-ioga-a-casa;Eugènia Sendra;2020-04-14T22:00:00Z;['Què fer', 'catalan: Barcelona', 'Què fer: Activitats esportives', 'Esports: Ioga i pilates']
Què Fer;https://www.timeout.cat/barcelona/ca/que-fer;Com fer un collage? Els artistes ens ho expliquen;Artistes del collage analògic i digital ens revelen els secrets per perdre la por a una tècnica contemporània;Article;https://www.timeout.cat/barcelona/ca/art/com-fer-un-collage-els-artistes-ens-ho-expliquen;Eugènia Sendra;2020-03-31T22:00:00Z;['Art', 'catalan: Barcelona', 'Categorias: Art']
Què Fer;https://www.timeout.cat/barcelona/ca/que-fer;10 grups i artistes de música emergent que heu de conèixer aquest novembre;La plataforma Acqustic, que concentra la comunitat de música independent més extensa de l’àmbit local, ens recomana els nous noms que cal escoltar per estar al dia;Article;https://www.timeout.cat/barcelona/ca/grups-artistes-musica-emergent-novembre-acqustic;Branded Content;2021-10-27T22:00:00Z;['Música', 'Música: Rock i indie']
Què Fer;https://www.timeout.cat/barcelona/ca/que-fer;Sortegem 8 plans de tardor;Us proposem experiències perquè aquesta tardor ompliu els vostres dies d’activitats en família, nits en parella i molt més. I si voleu guanyar-ne una, participeu en el sorteig!;Article;https://www.timeout.cat/barcelona/ca/que-fer/sortegem-plans-per-gaudir-de-la-tardor;;2021-10-20T22:00:00Z;['Què fer', 'Categorias: Què fer']
Què Fer;https://www.timeout.cat/barcelona/ca/que-fer;Guanyeu un cap de setmana a Olvera, Capital del Turisme Rural 2021;El poble de Cadis és capaç d'enamorar a qualsevol amb les seves cases emblanquinades i l'encant únic dels seus voltants. Participeu en el concurs i gaudiu de la seva bellesa durant el cap de setmana!;Article;https://www.timeout.cat/barcelona/ca/viatge/guanyeu-un-cap-de-setmana-a-olvera;Carla Nadal;2021-10-19T22:00:00Z;['Viatge', 'Categorias: Viatge']
Què Fer;https://www.timeout.cat/barcelona/ca/que-fer;Gaudiu d'un munt d'experiències a l'Empordà;A mig camí entre la ciutat de Girona i les poblacions costaneres de la Costa Brava, els petits pobles de l'Empordà us esperen aquesta tardor amb tallers, degustacions i visites de tota mena;Article;https://www.timeout.cat/barcelona/ca/que-fer/gaudiu-dun-munt-dexperiencies-a-lemporda;;2021-10-20T22:00:00Z;['Què fer', 'Categorias: Què fer']
Què Fer;https://www.timeout.cat/barcelona/ca/que-fer;El millor sushi de Barcelona amb repartiment a domicili i 'take away';Plaers japonesos amb servei de lliurament a domicili o amb recollida en el propi local;Article;https://www.timeout.cat/barcelona/ca/menjar-i-beure/sushi-per-emportar;;2021-01-28T23:00:00Z;['Restaurants', 'catalan: Barcelona', 'Restaurants: Japonesa']
